seq,book,c,net,mape,rmse
3000.0,1.6666666666666666E-4,1.0,0.0,47.122166590631956,421899.04893007944
3000.0,1.6666666666666666E-4,1.0,500.0,47.12003881316374,421904.6181059245
3000.0,1.6666666666666666E-4,1.0,1000.0,47.118325135517104,421910.22993432777
3000.0,1.6666666666666666E-4,1.0,1500.0,47.12183372130724,421915.8844135874
3000.0,1.6666666666666666E-4,1.0,2000.0,47.13092410165179,421921.5815419885
3000.0,1.6666666666666666E-4,1.0,2500.0,47.14241886246588,421927.32131780346
3000.0,1.6666666666666666E-4,1.0,3000.0,47.153913623279976,421933.10373929184
3000.0,1.6666666666666666E-4,1.0,3500.0,47.16540838409407,421938.92880470044
3000.0,1.6666666666666666E-4,1.0,4000.0,47.17690314490816,421944.7965122629
3000.0,1.6666666666666666E-4,1.0,4500.0,47.188326214124594,421949.61179125466
3000.0,1.6666666666666666E-4,1.0,5000.0,47.19974928334103,421954.4686126341
3000.0,1.6666666666666666E-4,1.0,5500.0,47.211172352557455,421959.3669749669
3000.0,1.6666666666666666E-4,1.0,6000.0,47.2225954217739,421964.306876806
3000.0,1.6666666666666666E-4,1.0,6500.0,47.23401849099034,421969.2883166928
3000.0,1.6666666666666666E-4,1.0,7000.0,47.245441560206764,421974.3112931561
3000.0,1.6666666666666666E-4,1.0,7500.0,47.25686462942321,421979.3758047127
3000.0,1.6666666666666666E-4,1.0,8000.0,47.26828769863965,421984.48184986715
3000.0,1.6666666666666666E-4,1.0,8500.0,47.27971076785606,421989.62942711177
3000.0,1.6666666666666666E-4,1.0,9000.0,47.29113383707251,421994.81853492657
3000.0,1.6666666666666666E-4,1.0,9500.0,47.30255690628894,422000.04917177965
3000.0,1.6666666666666666E-4,1.0,10000.0,47.31397997550537,422005.3213361269
3000.0,1.6666666666666666E-4,2.0,0.0,34.83302756244105,367224.18405055493
3000.0,1.6666666666666666E-4,2.0,500.0,34.842877385582355,367240.5956628699
3000.0,1.6666666666666666E-4,2.0,1000.0,34.85402277517048,367257.1899621583
3000.0,1.6666666666666666E-4,2.0,1500.0,34.870390428195364,367273.96692365746
3000.0,1.6666666666666666E-4,2.0,2000.0,34.89233987577468,367290.9265223369
3000.0,1.6666666666666666E-4,2.0,2500.0,34.916693703823526,367308.06873289746
3000.0,1.6666666666666666E-4,2.0,3000.0,34.941047531872385,367325.39352977363
3000.0,1.6666666666666666E-4,2.0,3500.0,34.96540135992121,367342.9008871315
3000.0,1.6666666666666666E-4,2.0,4000.0,34.98975518797008,367360.5907788698
3000.0,1.6666666666666666E-4,2.0,4500.0,35.01410901601893,367378.463178621
3000.0,1.6666666666666666E-4,2.0,5000.0,35.03846284406777,367396.51805975015
3000.0,1.6666666666666666E-4,2.0,5500.0,35.06281667211663,367414.7553953553
3000.0,1.6666666666666666E-4,2.0,6000.0,35.08717050016548,367433.17515826866
3000.0,1.6666666666666666E-4,2.0,6500.0,35.11152432821432,367451.7773210559
3000.0,1.6666666666666666E-4,2.0,7000.0,35.13587815626317,367470.5618560164
3000.0,1.6666666666666666E-4,2.0,7500.0,35.16022934264427,367489.0797022362
3000.0,1.6666666666666666E-4,2.0,8000.0,35.18457924000213,367507.5597331966
3000.0,1.6666666666666666E-4,2.0,8500.0,35.20892913736001,367526.2208302868
3000.0,1.6666666666666666E-4,2.0,9000.0,35.23327903471788,367545.06296592724
3000.0,1.6666666666666666E-4,2.0,9500.0,35.257628932075775,367564.0861122769
3000.0,1.6666666666666666E-4,2.0,10000.0,35.28197882943365,367583.2902412325
3000.0,1.6666666666666666E-4,3.0,0.0,28.859385657507936,341607.7595487888
3000.0,1.6666666666666666E-4,3.0,500.0,28.866198667052327,341619.69723937067
3000.0,1.6666666666666666E-4,3.0,1000.0,28.878490281794797,341631.8927888374
3000.0,1.6666666666666666E-4,3.0,1500.0,28.898667083465444,341644.3461695749
3000.0,1.6666666666666666E-4,3.0,2000.0,28.924991260322756,341657.05735338945
3000.0,1.6666666666666666E-4,3.0,2500.0,28.954062585495823,341670.0263115076
3000.0,1.6666666666666666E-4,3.0,3000.0,28.983726110802504,341683.2530145773
3000.0,1.6666666666666666E-4,3.0,3500.0,29.013726467981144,341696.7374326674
3000.0,1.6666666666666666E-4,3.0,4000.0,29.043894887194117,341710.47953526827
3000.0,1.6666666666666666E-4,3.0,4500.0,29.07426909419999,341724.47929129266
3000.0,1.6666666666666666E-4,3.0,5000.0,29.104829815969502,341738.736669075
3000.0,1.6666666666666666E-4,3.0,5500.0,29.135390537739003,341753.25163637265
3000.0,1.6666666666666666E-4,3.0,6000.0,29.165951259508496,341768.0241603662
3000.0,1.6666666666666666E-4,3.0,6500.0,29.196511981277997,341783.0542076591
3000.0,1.6666666666666666E-4,3.0,7000.0,29.227072703047483,341798.3417442788
3000.0,1.6666666666666666E-4,3.0,7500.0,29.257634143068135,341813.88673567714
3000.0,1.6666666666666666E-4,3.0,8000.0,29.28820044836307,341829.68914672994
3000.0,1.6666666666666666E-4,3.0,8500.0,29.318766753658032,341845.7489417382
3000.0,1.6666666666666666E-4,3.0,9000.0,29.349333058952965,341862.0660844284
3000.0,1.6666666666666666E-4,3.0,9500.0,29.37989936424793,341878.6405379525
3000.0,1.6666666666666666E-4,3.0,10000.0,29.410482104683414,341895.47226488846
3000.0,1.6666666666666666E-4,4.0,0.0,26.299929136899095,330636.90764371457
3000.0,1.6666666666666666E-4,4.0,500.0,26.30187012120451,330642.30749825516
3000.0,1.6666666666666666E-4,4.0,1000.0,26.30976102264464,330648.0028145692
3000.0,1.6666666666666666E-4,4.0,1500.0,26.329399079471997,330653.99357738945
3000.0,1.6666666666666666E-4,4.0,2000.0,26.355955818102814,330660.2797706576
3000.0,1.6666666666666666E-4,4.0,2500.0,26.38598071655525,330666.86137752474
3000.0,1.6666666666666666E-4,4.0,3000.0,26.41656335686952,330673.7383803513
3000.0,1.6666666666666666E-4,4.0,3500.0,26.44733252972635,330680.9107607078
3000.0,1.6666666666666666E-4,4.0,4000.0,26.478384990267735,330688.3784993747
3000.0,1.6666666666666666E-4,4.0,4500.0,26.50982982767718,330696.14157634275
3000.0,1.6666666666666666E-4,4.0,5000.0,26.541311919259734,330704.1999708132
3000.0,1.6666666666666666E-4,4.0,5500.0,26.572868899698733,330712.5536044329
3000.0,1.6666666666666666E-4,4.0,6000.0,26.60453302471089,330721.201447624
3000.0,1.6666666666666666E-4,4.0,6500.0,26.63644731261142,330730.143106897
3000.0,1.6666666666666666E-4,4.0,7000.0,26.668388786484762,330739.37855842157
3000.0,1.6666666666666666E-4,4.0,7500.0,26.70040119378197,330748.9077775874
3000.0,1.6666666666666666E-4,4.0,8000.0,26.732445676895143,330758.7307390038
3000.0,1.6666666666666666E-4,4.0,8500.0,26.764551306267574,330768.84741650056
3000.0,1.6666666666666666E-4,4.0,9000.0,26.796917778988213,330779.2577831286
3000.0,1.6666666666666666E-4,4.0,9500.0,26.829342099288755,330789.96181115945
3000.0,1.6666666666666666E-4,4.0,10000.0,26.861806584847905,330800.9594720863
3000.0,1.6666666666666666E-4,5.0,0.0,24.384589503502493,323047.79316560953
3000.0,1.6666666666666666E-4,5.0,500.0,24.383373965881653,323048.17129400343
