seq,book,c,net,err
3000.0,1.6666666666666666E-4,5.0,9000.0,24.94589223875266
3000.0,1.6666666666666666E-4,5.0,9500.0,24.97995131258521
3000.0,1.6666666666666666E-4,5.0,10000.0,25.01408884794518
3000.0,1.6666666666666666E-4,6.0,0.0,23.644003578177635
3000.0,1.6666666666666666E-4,6.0,500.0,23.640307881366486
3000.0,1.6666666666666666E-4,6.0,1000.0,23.642016331000598
3000.0,1.6666666666666666E-4,6.0,1500.0,23.65815327471712
3000.0,1.6666666666666666E-4,6.0,2000.0,23.684275820736673
3000.0,1.6666666666666666E-4,6.0,2500.0,23.714079541025292
3000.0,1.6666666666666666E-4,6.0,3000.0,23.745365264396987
3000.0,1.6666666666666666E-4,6.0,3500.0,23.77719173791975
3000.0,1.6666666666666666E-4,6.0,4000.0,23.809413390009784
3000.0,1.6666666666666666E-4,6.0,4500.0,23.842028809986783
3000.0,1.6666666666666666E-4,6.0,5000.0,23.875065801361334
3000.0,1.6666666666666666E-4,6.0,5500.0,23.9085258544869
3000.0,1.6666666666666666E-4,6.0,6000.0,23.94219615331322
3000.0,1.6666666666666666E-4,6.0,6500.0,23.97601314334867
3000.0,1.6666666666666666E-4,6.0,7000.0,24.009942498516352
3000.0,1.6666666666666666E-4,6.0,7500.0,24.044006476081545
3000.0,1.6666666666666666E-4,6.0,8000.0,24.07816624545869
3000.0,1.6666666666666666E-4,6.0,8500.0,24.11251443604937
3000.0,1.6666666666666666E-4,6.0,9000.0,24.147081585021468
3000.0,1.6666666666666666E-4,6.0,9500.0,24.181648733993548
3000.0,1.6666666666666666E-4,6.0,10000.0,24.21626021892159
3000.0,1.6666666666666666E-4,7.0,0.0,22.677443267744817
3000.0,1.6666666666666666E-4,7.0,500.0,22.672664703801495
3000.0,1.6666666666666666E-4,7.0,1000.0,22.673148492142875
3000.0,1.6666666666666666E-4,7.0,1500.0,22.687907649898133
3000.0,1.6666666666666666E-4,7.0,2000.0,22.714135132829867
3000.0,1.6666666666666666E-4,7.0,2500.0,22.744087281062694
3000.0,1.6666666666666666E-4,7.0,3000.0,22.775353765202325
3000.0,1.6666666666666666E-4,7.0,3500.0,22.807985459526293
3000.0,1.6666666666666666E-4,7.0,4000.0,22.84102221199556
3000.0,1.6666666666666666E-4,7.0,4500.0,22.87423228776532
3000.0,1.6666666666666666E-4,7.0,5000.0,22.907686903361515
3000.0,1.6666666666666666E-4,7.0,5500.0,22.94168007486933
3000.0,1.6666666666666666E-4,7.0,6000.0,22.97619073921248
3000.0,1.6666666666666666E-4,7.0,6500.0,23.011001695708185
3000.0,1.6666666666666666E-4,7.0,7000.0,23.04586332631789
3000.0,1.6666666666666666E-4,7.0,7500.0,23.080852066205107
3000.0,1.6666666666666666E-4,7.0,8000.0,23.115952870803767
3000.0,1.6666666666666666E-4,7.0,8500.0,23.151212075301064
3000.0,1.6666666666666666E-4,7.0,9000.0,23.186541824330465
3000.0,1.6666666666666666E-4,7.0,9500.0,23.222066858213513
